datetime,location,precip,conditions,icon
2023-09-08 00:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Thủ Đức, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 1, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 3, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 4, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 5, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 6, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 7, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 7, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 7, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 7, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 7, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 8, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 8, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 8, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 8, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 8, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 10, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 10, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 10, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 10, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 10, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 11, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận 12, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Bình Tân, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Bình Thạnh, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Gò Vấp, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Phú Nhuận, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Phú Nhuận, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Phú Nhuận, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Phú Nhuận, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Phú Nhuận, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Tân Bình, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Tân Bình, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Tân Bình, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Tân Bình, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Tân Bình, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Quận Tân Phú, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Quận Tân Phú, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Quận Tân Phú, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Quận Tân Phú, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Quận Tân Phú, Hồ Chí Minh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Huyện Bình Chánh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Huyện Bình Chánh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Huyện Bình Chánh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Huyện Bình Chánh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Huyện Bình Chánh, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Huyện Cần Giờ, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Huyện Cần Giờ, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Huyện Cần Giờ, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Huyện Cần Giờ, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Huyện Cần Giờ, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Huyện Củ Chi, Việt Nam",0.1,"Rain, Partially cloudy",rain
2023-09-08 01:00:00,"Huyện Củ Chi, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Huyện Củ Chi, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Huyện Củ Chi, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Huyện Củ Chi, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Huyện Hóc Môn, Việt Nam",0.1,"Rain, Partially cloudy",rain
2023-09-08 01:00:00,"Huyện Hóc Môn, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Huyện Hóc Môn, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Huyện Hóc Môn, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Huyện Hóc Môn, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 00:00:00,"Huyện Nhà Bè, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 01:00:00,"Huyện Nhà Bè, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 02:00:00,"Huyện Nhà Bè, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 03:00:00,"Huyện Nhà Bè, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
2023-09-08 04:00:00,"Huyện Nhà Bè, Việt Nam",0.0,Partially cloudy,partly-cloudy-night
